text,label
"Keystone leak affected 10x more land than thought, regulator says",2
"Dybeck Happe, who joins $GE from A.P Moller-Maersk, the world's biggest container shipping group, will take over fo… https://t.co/vcvvxSpbkP",2
Trump threatens China with higher tariffs if trade deal not made,0
Fed Report : Small-Business Sector Highly Vulnerable to Coronavirus Crisis--Update #FedReport #economy… https://t.co/AjGZqiRl5b,0
"Bitcoin sinks to lowest level since May, falling $3,000 in a month as China accelerates crackdown https://t.co/l03Dq6aRu5",0
Foresight Autonomous EPS beats by $0.11,1
Tokyo's Haneda airport is the fifth-busiest airport in the world. But it delivered more than 85% of its flights on… https://t.co/QhgH5AZGDm,2
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,1
Would Games Workshop Group PLC (LON:GAW) Be Valuable To Income Investors?,2
Gold Falls After Strong Jobless Report #Silver #Stock #MarketScreener https://t.co/sgJSZrfvJE https://t.co/JZ5Pu0GTuN,0
"Twitter Beats Revenue, User Growth Estimates; Shares Rally",1
"Stocks making the biggest moves midday: Uber, Tesla, Ulta, Zoom Video & more https://t.co/XN1cJCUNxT",2
China set to cut tariffs on $75B in U.S. imports by 50%,1
Bank of Israel expands its crisis QE with $13.6 billion in bond buying https://t.co/xEMWn1vjAO,2
"$SDRL - Seadrill: Another Debt Restructuring In The Making, But Don't Bet On Bankruptcy This Time. Read more and si… https://t.co/ggd501LE5q",0
Who votes on interest rates? What monetary policy tools does the Fed have? Answers to these questions and more:… https://t.co/CPiU4cQraG,2
"Bank of Canada can buy corporate, municipal bonds if necessary #taux #MarketScreener https://t.co/38OhHeNmWA https://t.co/cowCcOVS13",2
Imagination TV announces new share buyback program,1
Hedge Funds Are Selling El Paso Electric Company (EE),0
Tech Down As Traders Hedge On US-China Deal Prospects -- Tech Roundup #economy #MarketScreener… https://t.co/PDK1Scf0jM,0
"⚡️ @sussexuni scientists have developed holograms out of soundwaves that can be seen, heard and felt  https://t.co/KLCfEonVyI",2
Sotherly Hotels Inc. Announces Relocation of Corporate Headquarters  https://t.co/xn5xjkNDq1,2
Uber Technologies : Driving Change- Working Together to End Gender-Based Violence #UberTechnologies #Stock… https://t.co/lTGeVzV524,2
Intertek : launches Cyber Assured #Intertek #Stock #MarketScreener https://t.co/uDrw45pqXr https://t.co/ahw2QkSvPe,2
$FMN - Federated Premier Municipal Income Fund declares $0.05 dividend https://t.co/h3rT8c1GvI,2
Dow futures pare gains as Home Depot's stock sinks 5% after third-quarter earnings,0
Charles Schwab to buy TD Ameritrade for $26 billion,2
